Novamox CV 228.5mg Tangy Orange Flavour Dry Syrup 30ml
Novamox Rediuse Drops 10ml
Cefbact 1gm Injection 1's
Levoflox 750mg Tablet 5'S
Cefbact 500mg Injection 1's
Azimax DT 200mg Tablet 3'S
Azimax 200mg Dry Syrup 15ml
Azimax 100 Peppermint Flavour Dry Syrup 15ml
Novamox 250mg Capsule 15'S
Omnikacin 100mg Injection 2ml
Norflox 200mg Tablet 10'S
Ciplox Eye/Ear Drops 10ml
CRIFOS 4gm Injection 1's
Tiganex 50mg Injection 5ml
Imicrit 1000/1000mg Injection 30ml
Tobamist Respule 5X5ml
Atavir 300mg Capsule 30'S
Voritek 50mg Tablet 10'S
Zosul 1.5gm Injection 1's
Ferobact 200mg Tablet 6'S
Moxicip Injection 250ml
Vanlid 500mg Tablet 10'S
Novamox 100mg Injection 1'S
Omnixim 250mg Tablet 4'S
Synclar 500mg Tablet 4'S
Advent 1gm Tablet 4'S
Levoflox 250mg Injection 15ml
Ziprax DT Tablet 4'S
Ciplox 750mg Tablet 10'S
Synclar 250mg Tablet 4'S
Okaflox 400mg Tablet 10'S
Synclar Rediuse 125mg Suspension 30ml
Spiramycin 1.5mg Tablet 10'S
Ziprax O Tablet 10'S
CLARICIP 250mg Tablet 4's
Lquin 500mg Infusion 100ml
Omnix XT Suspension 150ml
Ziprax LB DT 200mg Tablet 10'S
Olox 400mg Tablet 10'S
Moxiflox Eye Drops 5ml
Roxee 50mg Tablet 10'S
Fixobact 250mg Capsule 10'S
OMROXY 150mg Tablet 10's
Ziprax LB DT 100mg Tablet 10'S
Omnix XT Tablet 10'S
Megabact 250mg/250mg Capsule 10'S
Olox 100mg Rediuse 60ml
Novamox 500mg Capsule 6'S
Acneheal 1/4% Gel 20gm
DIOFLOX Tablet 10's
Levobid 500mg Tablet 5'S
Novaclav 125mg/31.25mg Syrup 30ml
Bromolin 500mg Capsule 6'S
Omnix XT Drops 15ml
Obact 200mg Tablet 10'S
ODIROX KID 50mg Tablet 10's
Azee 200mg Rediuse Syrup 15ml
Cefrax 100mg Dry Syrup 30ml
AMPISYN 125mg Syrup 60ml
Neocip 500mg Tablet 10'S
Fixobact DT 125mg Tablet 10'S
Supribact-Lb 250mgmg/250mgmg/60M Capsule 10'S
Supribact Capsule 10'S
NEW Okaflox M Syrup 30ml
Novamox LB 250mg Tablet 30'S
Ciplacef 250mg Injection 10ml
Azipro 200mg Dry Syrup 15ml
Nitarid DT 200mg Tablet 6'S
Moxnova 250mg Tablet 10'S
Tariflox D Eye Drops 10ml
Moxnova 500mg Tablet 10'S
NOR T Suspension 30ml
NEOCIP FC Cream 15gm
Gatiquin Eye Ointment 5gm
Nitarid Syrup 30ml
Refix Tablet 10'S
Tariflox 50mg Suspension 30ml
Ciplin DS Tablet 10'S
Q-Gat Eye/Ear Drops 10ml
Tariflox 0.30% Eye/Ear Drops 10ml
PROFLOX 0.3% Drops 5ml
Francip 500mg Drops 5ml
STON 1 B6 DELICIOUS PINEAPPLE FLAVOUR Oral Solution 450ml
Ston 1 Oral Solution 450ml
STON 1 DELICIOUS PINEAPPLE FLAVOUR Oral Solution 450ml
Ston 1 B6 Raspberry Flavour Oral Solution 200ml
STON 1 B6 DELICIOUS PINEAPPLE FLAVOUR Oral Solution 200ml
Ston 1 Delicious Pineapple Flavour Oral Solution 200ml
Ston 1 B6 Tablet 10'S
Alkacip Syrup 100ml
Neosurf Injection 3ml
Lumet 80mg Tablet 6'S
Falcithar 40mg Injection 1ml
Ulteria 60mg Infusion 60ml
FALCITHAR 80mg Injection 1ml
MALIAGO 250mg Tablet 10's
Rizact 10mg Tablet 4'S
Rizact 5mg Tablet 4'S
CIPLAR PLUS 10 Tablet 10's
CIPLAR PLUS 5 Tablet 10's
Migarid 10mg Tablet 10'S
Migarid 5mg Tablet 10'S
Rizact MD 10mg Tablet 2'S
Rizact MD 5mg Tablet 2'S
SUMATRIPTAN SUCCINATE 25 Tablet 9's
Domcet Tablet 10'S
Dompar Tablet 10'S
Vertigil 10mg/20mg Tablet 6'S
Vertiron 25mg Tablet 10'S
Domcet Suspension 30ml
Paranorm 5mg/500mg Tablet 10'S
CIP ZOX Tablet 10's
Cipzox Tablet 10'S
Nicip MR Tablet 10'S
CIP ZOX Tablet 6's
Cipzox Tablet 6'S
Spasmonil Plus Tablet 10'S
Ibugesic M Tablet 6'S
Isotroin 20mg Capsule 10'S
ISOTROIN 20 Capsule 15's
Saslic DS Face Wash Foam 60ml
Acnedap Plus Gel 15gm
Acnedap Gel 15gm
Isotroin 30mg Capsule 10'S
ISOTROIN 10 Capsule 15's
Isotroin 10mg Capsule 10'S
Isotroin 5mg Capsule 10'S
Vedasol SM Gel 60gm
Oxidoben Gel(Topical) 15gm
SUPER GLOW NF Cream 20gm
Acneheal 1/4% Gel 20gm
Ibugesic TH 4mg Tablet 10'S
Movexx MR Tablet 10'S
Spasmonil Drops 10ml
Spasmonil Tablet 10'S
MOVEXX SPAS Tablet 10's
Spasmorid Tablet 10'S
Itrop Plus Eye Drops 5ml
ITR PLUS Eye Drops 2.5ml
Zolmist Nasal Spray 0.7ml
Duonase 70Md Nasal Spray 7Gm
Furamist AZ Nasal Spray 70Md
Metaspray Nasal Spray 100Md
Furamist Nasal Spray 120Md 1's
Budenase AQ Nasal Spray 150Md
Nasowash Sachet 7.8Gm
FLOMIST F Nasal Spray 120md
Beclate Cfc Free 50mg Inhaler 300Mdi
Ciclospray Nasal Spray 100Md
Clearnoz NS Saline Spray 20ml
Easibreathe Capsule 10'S
NOVA D 75 Capsule 10's
Nova M 75mg Capsule 10'S
NOVA D 50 Capsule 10's
NOVA MNT Tablet 10's
Pregacip M 75mg/750mcg Capsule 10'S
PREGACIP M 75/1500mcg Tablet 10's
Capnea Injection 1ml
Capnea Oral Solution 1ml
Capnea Injection 2ml
Modapro 200mg Tablet 10'S
Modatec 200mg Tablet 10'S
Modapro 100mg Tablet 10'S
Modatec 100mg Tablet 10'S
Cognolin P Tablet 10'S
Cognolin 500 Tablet 10'S
COFSILS EXPERDINE Gargle 100ml
Cipladine Gargle 100ml
COFSILS EXPERDINE Gargle 50ml
CALCINASE 2200iu Nasal Spray 60md
Calcinase Nasal Spray 30Md
Osteofos 70mg Tablet 4'S
Osteofos 35mg Tablet 4'S
Cipcal D3 60000IU Granules 1gm
NEPLAWATCH 0.1% Eye Drops 5ml
VIGADEXA Ophthalmic Solution 5ml
Gatiquin HS Eye Drops 5ml
NEPCINAC Eye Drops 5ml
Gatiquin P Eye Drops 10ml
Moxicip KT Eye Drops 5ml
Loteflam Eye Drops 5ml
IF 2 Eye Drops 5ml
Acivir Eye Ointment 5gm
VISUMAB 0.5mg Injection 10ml
VISUMAB 0.5 Injection 0.23ml
FLOMEX Eye Drops 5ml
Propcaine 0.50% Eye Drops 5ml
Chymocip Tablet 20'S
Ibugesic TH 8/100mg Tablet 10'S
Ibugesic Asp Tablet 10'S
Ibugesic AP Tablet 10'S
Ibugesic plus Strawberry Flavour Suspension 100ml
IBUGESIC PLUS ORANGE FLAVOUR Suspension 100ml
Ibugesic Plus Orange Flavour Suspension 60ml
Ibugesic Plus Tablet 20'S
Ibugesic Plus Tablet 15'S
Ibugesic Orange Flavour Suspension 100ml
IBUGESIC Infusion 100ml
Indocid SR 75mg Capsule 10'S
Codifos Tablet 10'S
Moveace SP Tablet 10'S
Nodard Gel 30gm
Medizen D Tablet 10'S
Fastram Tablet 10'S
Cipzen 5mg Tablet 10'S
Omni Super Gel 30gm
Voltanec S Tablet 10'S
Mobix Cream 30gm
Actiflu 500mg Tablet 10'S
Nicip 100mg Capsule 10'S
NEW Nicip 100mg Tablet 15'S
Painil Tablet 10'S
Supernim Plus Tablet 10'S
VECTRA P Tablet 10's
Spasmocip Plus Capsule 10'S
SUPERNIM Gel 20gm
Voltanec 100mg Tablet 10'S
Tramacip 50mg Injection 2ml
Nicip Gel 20gm
Powergel 1.16% Gel 30gm
Tramacip SR 100mg Tablet 10'S
Reactine 50mg Tablet 10'S
Tramacip Plus Tablet 10'S
Spasmonil Forte Tablet 10'S
Tramacip 50mg Injection 1ml
Ibugesic 600mg Tablet 15'S
Pirox Injection 1ml
Cofenac 100 SR Tablet 15'S
Ibugesic 400mg Tablet 15'S
Ibugesic 200mg Tablet 15'S
Diclopara 50/500mg Tablet 10'S
ETOZOX T Tablet 10's
Etozox 90mg Tablet 10'S
Cipzen D Tablet 10'S
Cobix 200mg Capsule 10'S
CIP ZOX MR Tablet 10's
OMNIGEL 2% Spray 25gm
Movexx SP Tablet 10'S
Omni Hot Gel 30gm
Reactin SR 100mg Tablet 15'S
Omnigel Spray 20gm
Pirox DT 20mg Tablet 10'S
Pirox Gel 30gm
Voltanec SP Tablet 10'S
Voltanec PR Tablet 10'S
Nicip Plus Tablet 10'S
Mobicam DT 20mg Tablet 10'S
NICIP P Tablet 10's
Nimupain Plus Tablet 10'S
Reactin SR 100mg Tablet 10'S
Movexx Plus Tablet 10'S
Nicip MD 100mg Tablet 10'S
NODARD Tablet 15's
Nodard Plus Tablet 10'S
NICIP PLUS (GOLDEN) Tablet 10's
PIROX IM Injection 2ml
Nimupain 100mg Tablet 10'S
Nicip 100mg Tablet 10'S
PARACIP Tablet 10's
Spasmonil Plus Tablet 10'S
Reactin Plus Tablet 10'S
REACTINE PLUS (RED) Tablet 10's
REACTIN PLUS (R) Tablet 10's
Reactin 50mg Tablet 10'S
Ibugesic Nano Gel 30gm
CIPZEN DP Tablet 10's
Etozox 60mg Tablet 10'S
Cipzen D Plus Tablet 10'S
Nicip Super Gel 30gm
OMNI HOT Gel 20gm
Tramacip 50mg Capsule 10'S
Omni Ice Gel 30gm
Aceflex Plus Tablet 10'S
OMNI HOT Gel 10gm
Nodard 100mg Tablet 10'S
PAINIL PLUS Tablet 10's
Pirox 20mg Capsule 10'S
REACTIN Gel 30gm
Reactine Gel 30gm
Reactine Plus Clear Tablet 10'S
REACTIN 75 Injection 1ml
Cofenac Plus Tablet 10'S
Cobix 100mg Capsule 10'S
Bendex Cherry with Peppermint Flavour Suspension 10ml
Mebex Tablet 6'S
Bendex 400mg Tablet 1's
Bendex Plus Tablet 1's
Mebex Suspension 30ml
X Worm Plus 400mg Tablet 10'S
X Worm 400mg Tablet 1'S
Tiobend 400mg Tablet 1'S
IVRIX 12 Dispersible Tablet 10's
Scabicip Lotion 100ml
Wormex 200mg Suspension 10ml
Wormex 400mg Tablet 1'S
MONTAIR LC Tablet 15's
MONTAIR FX Tablet 15's
Montair LC Tablet 10'S
RID AR Tablet 15's
BILAFAV M Tablet 10's
BILLARGIC M Tablet 10's
Montair 5mg Chewable Tablet 15'S
BILLARGIC 20mg Tablet 10's
BILAFAV 20 Tablet 10's
BILAFAV M Mango Flavour Suspension 60ml
FEXIGRA Raspberry Vanilla Suspension 100ml
Montair LC Kid Dispersible Tablet 10'S
Montair LC Kid Syrup 60ml
BILLARGIC Oral Solution 60ml
BILAFAV STRAWBERRY FLAVOUR Oral Solution 60ml
RID AR Kid Tablet 10'S
Cromal Forte Eye Drops 5ml
Levorid Tablet 10'S
RID AR Kid Syrup 30ml
Alerid D Tablet 10'S
Alerid Syrup 60ml
Alerid Syrup 30ml
Alerid 10mg Tablet 10'S
RID AR Tablet 10'S
Montair FX Tablet 10'S
Alerfex 120mg Tablet 10'S
MONTAIR Syrup 30ml
Fexodine 120mg Tablet 10'S
Fexigra 30mg Tablet 10'S
Cromal Eye Drop 5ml
Alergin LX Syrup 30ml
Cetcip Cold Tablet 10'S
Amantrel Capsule 15'S
Amantrel 100Mg Tablet 15's
ELCEPAN 100 Tablet 10's
ELCEPAN 50 Tablet 10's
NICOGUM 2 PAAN MASALA FLAVOURED Chew Gum 10's
Desirox 500mg Tablet 30'S
Desirox 250mg Tablet 30'S
Nicotex 14mg Patch 7'S
Nicotex 7mg Patch 7'S
Nicogum Freshmint Sugar Free 2mg Tablet 10's
DEFERASIROX(CIPLA) 250 Tablet 30's
Nicotex Fruity Mint Flavour Sugar Free 4mg Gum 9'S
Crotonol 500mg Tablet 4'S
Betasalic Ointment 20gm
Cizorest 200mg Tablet 10'S
Cizorest 100mg Tablet 10'S
Cizorest 50mg Tablet 10'S
Risnia MD 3mg Tablet 10'S
LAMETEC KIDTAB Tablet 10's
Risnia MD 1mg Tablet 10'S
Tablura 40mg Tablet 10'S
GAMACIP Lotion 100ml
Cizorest OD 400mg Tablet 10'S
Cizorest OD 200mg Tablet 10'S
Risnia Syrup 60ml
Risnia Forte Tablet 10'S
Risnia Plus Tablet 10'S
Risnia MD 4mg Tablet 10'S
Risnia MD 2mg Tablet 10'S
OLEXAR 10 Tablet 10's
MUPICIP Ointment 15gm
MUPICIP Ointment 10gm
Fourderm Cream 20gm
MUPICIP Ointment 5gm
Fourderm Cream 15gm
Fourderm Cream 10gm
Burnheal Cream 15gm
CIPLADINE Ointment 25gm
Fourderm Cream 5gm
Cipladine 5% Ointment 10gm
Cipladine Ointment 250gm
Tercan M Gel 10gm
Cipladine 10% Solution 100ml
SILVERTEC Gel 10gm
CIPSULF Powder 10gm
TOCODERM NF + Cream 15gm
Fourderm AF Cream 5gm
Cipladine M Ointment 15gm
Topcort Cream 15gm
Mupinase Cream 7.5gm
Mupinase Ointment 5gm
Nadibact Gel 10gm
Nadibact Cream 10gm
Nadibact Plus Cream 10gm
Silvercure Nano Gel 50gm
Fourderm AF Cream 20gm
Zoflut 0.05% Ointment 10gm
Zoflut 0.05% Lotion 10ml
POVIDERM 5% Dusting Powder 20gm
NICOTEX ULTRA MINT FLAVOUR SUGAR FREE 4mg Chew Gum 9's
Nicotex Mint Plus Flavour 4mg Chew Gum Tablet 25'S
Nicogum 4 Sugar Free Freshmint Flavoured Chew Gum 10's
Nicotex Mint Plus Flavour 4mg Chew Gum Tablet 9'S
Nicotex Paan Flavour 4mg Chew Gum Tablet 9'S
Nicotex Classic Fresh Mint Flavour 4mg Chew Gum Tablet 9'S
Nicotex Cinnamon Flavour Sugar Free 4mg Chew Gum Tablet 9'S
Nicotex Plus 2mg Tablet 9'S
Nicotex Plus 4mg Tablet 25'S
Nicotex Plus 2mg Tablet 25'S
Nicotex Teeth Whitening Mint Plus 4mg Chew Gum Tablet 9'S
NICOGUM 1 MINT PLUS FLAVOUR Mini Lozenge 10's
Nicotine 4mg Gum 9'S
Nicotex Plus 4mg Tablet 9'S
Nicotine 2mg Gum 9'S
TICACIP 90mg Tablet 14's
Prasuvas 10mg Tablet 10'S
ROSULIP GOLD 10mg Capsule 10's
Clopivas 75mg Tablet 15'S
Clopivas 300mg Tablet 2'S
TICACIP 60mg Tablet 14's
ISONIAZIDE 50MG TABLET 1000'S
CETAZIDE TABLET 1000'S
RISORINE KIT
ES LOMAC L Capsule 10's
ES OMECIP L Capsule 10's
Rabesec LS 75/20mg Capsule 10'S
ES LOMAC 40 Tablet 15's
Pantosec D Tablet 10'S
Rabesec DSR Capsule 10'S
Rabitec DSR 20/30mg Capsule 10'S
PANTOSEC D SR NEW Capsule 10's
Rabesec D Tablet 10'S
Pantosec 40mg Tablet 10'S
Rabesec 20mg Tablet 10'S
Lanzol 30mg Capsule 10'S
Pantosec DSR Capsule 10'S
ES LOMAC 20 Tablet 15's
DIGUSIL MPS MINT FLAVOUR Suspension 170ml
ACIGENE MINT FLAVOUR Gel 170ml
PANTOSEC IV Injection 1's
Pantosec 40mg Injection 10ml
Omecip 20mg Capsule 15'S
Lomac 20mg Capsule 15'S
RABESEC AP 200 SR Capsule 10's
ES OMECIP 40 Injection 1's
Itorab Capsule 10'S
Omecip DSR Capsule 15'S
OXECAINE MINT Suspension 170ml
ES LOMAC DSR Capsule 10's
ES OMECIP DSR Capsule 10's
Omecip D Capsule 10'S
Lomac D Capsule 10'S
Okacid D Capsule 10'S
Pantix DSR 30mg/40mg Capsule 10'S
Okacid 20mg Capsule 15'S
PANTOCIP IV Injection 1's
PANSEC IV (WITH DILUENT) Injection 10's
Pansec DSR Capsule 15'S
Rabicip D Capsule 15'S
Rabicip L Capsule 10'S
Pansec 40mg Tablet 15'S
Esomac D 40mg Capsule 10'S
Junior Lanzol 30mg Tablet 10'S
PYLOKIT AC Kit 6's
Esomac 40mg Tablet 15'S
Junior Lanzol 15mg Tablet 15'S
Rabicip 20mg Tablet 15'S
Esomac IV Injection 1's
Rabicip IV Injection 1's
Esomac D 20mg Capsule 10'S
Esomac 20mg Tablet 15'S
Pansec IV 40mg Injection 1'S
ESOMAC 10mg Granules 1gm
Neutralizing Lotion 200ml
PANSEC 80mg Tablet 10's
ALGISOD Liquid 100ml
Rabecer D SR Capsule 10'S
Misoprost 200mcg Tablet 4'S
Omnisec 20mg Tablet 15'S
Dompar 10/500mg Tablet 10'S
Misoprost 25Mcg Tablet 4'S
Mesalo Foam 82Gm
Entofoam 10% Foam 1'S
Esomac L Capsule 10'S
DYTOR E 20mg Combi Kit 1's
Urivoid 25mg Tablet 10'S
MTP Kit 1's
MTP 200/200mcg Kit 1'S
Mtprost Kit 1'S
MT Pill 200mg Tablet
Misoprost 600mcg Tablet
ERGOGIN 0.5 Tablet 10's
Misoprost 100mcg Tablet 4'S
Methercip Injection 1ml
Onco Bcg 40mg Vaccine 1's
ELAVA 10000iu Prefilled Syringe(Pfs) 1's
TT (Cipla) Injection 5ml
Everfresh Hygiene Vaginal Wash 100ml
Vertipress 24mg Tablet 10'S
Vertipress 8mg Tablet 10'S
Vertiron 25mg Tablet 25'S
Vertiron 25mg Tablet 10'S
Hepcvel Tablet 28'S
Viraday Tablet 30'S
Valcip 450mg Tablet 10'S
Trioday Tablet 30'S
Tenvir EM Tablet 30'S
Efavir 600mg Tablet 30'S
Tafmune EM Tablet 30'S
Tenvir Tablet 30'S
Tenvir AF 25mg Tablet 30'S
Valgan 450mg Tablet 4'S
Duovir Tablet 60'S
Entavir 1mg Tablet 10'S
Nevimune Tablet 60'S
Entavir 0.5mg Tablet 10'S
Duovir N Tablet 30'S
Antiflu Syrup 75ml
ANTIFLU Oral Suspension 75ml
Antiflu 75mg Capsule 10'S
ACIVIR 500 Infusion 1's
Acivir 500mg Injection 20ml
ACIVIR IV Infusion 10ml
Valcivir 1gm Tablet 3'S
Acivir DT 800mg Tablet 5'S
